	input	category	prediction
84	The friend in a house beside a stage needed to sneeze .	obj_pp_to_subj_pp	* friend ( 4 ) ; house ( 12 ) ; stage ( 20 ) ; sneeze ( 30 ) ; need ( 24 ) AND agent ( 24 , 4 ) AND recipient ( 24 , 12 ) AND recipient ( 24 , 20 ) AND theme ( 30 )
85	The cake on the bed was rolled by the girl in a tin .	obj_pp_to_subj_pp	* cake on bed ( 13 ) ; girl ( 23 ) ; tin ( 34 ) ; roll ( 41 ) AND theme ( 41 , 13 ) AND agent ( 41 , 23 ) AND recipient ( 41 , 34 )
86	The boy in a bush liked Ryan .	obj_pp_to_subj_pp	* boy ( 21 ) ; * bush ( 27 ) ; Ryan ( 36 ) ; like ( 49 ) AND agent ( 49 , 21 ) AND recipient ( 49 , 36 )
87	The basket on the keyboard was eaten .	obj_pp_to_subj_pp	* basket ( 11 ) ; * keyboard ( 22 ) ; eat ( 43 ) AND theme ( 43 , 11 ) AND agent ( 43 )
88	The chief beside the skull rolled Grace .	obj_pp_to_subj_pp	* chief ( 16 ) ; skull ( 26 ) ; Grace ( 31 ) ; roll ( 42 ) AND theme ( 42 , 31 ) AND agent ( 42 , 16 ) AND recipient ( 42 , 26 )
89	The duck beside a table was served the flag .	obj_pp_to_subj_pp	* duck ( 10 ) ; * table ( 20 ) ; flag ( 26 ) ; serve ( 16 ) AND agent ( 16 , 10 ) AND recipient ( 16 , 20 ) AND theme ( 16 , 26 )
90	The moose on the computer liked James .	obj_pp_to_subj_pp	* moose ( 7 ) ; * computer ( 9 ) ; James ( 17 ) ; like ( 28 ) AND agent ( 28 , 7 ) AND recipient ( 28 , 17 )
91	The boy beside a yacht cleaned .	obj_pp_to_subj_pp	* boy ( 10 ) ; * yacht ( 25 ) ; clean ( 40 ) AND agent ( 40 , 10 ) AND recipient ( 40 , 25 )
92	A cat on the computer noticed that the teacher beside the book valued the boy .	obj_pp_to_subj_pp	* cat ( 12 ) ; * computer ( 15 ) ; * teacher ( 32 ) ; * book ( 35 ) ; * boy ( 44 ) ; notice ( 22 ) AND agent ( 22 , 12 ) AND recipient ( 22 , 44 ) AND theme ( 22 , 32 ) AND theme ( 22 , 35 ) AND value ( 48 ) AND agent ( 48 , 32 ) AND theme ( 48 , 44 )
93	The cake on a bed was rolled .	obj_pp_to_subj_pp	* cake ( 26 ) ; * bed ( 34 ) ; roll ( 47 ) AND theme ( 47 , 26 ) AND recipient ( 47 , 34 )
94	The cookie beside a bed was disintegrated by a father in the cupboard .	obj_pp_to_subj_pp	* cookie ( 18 ) ; * bed ( 26 ) ; father ( 44 ) ; cupboard ( 53 ) ; disintegrate ( 35 ) AND theme ( 35 , 18 ) AND recipient ( 35 , 26 ) AND agent ( 35 , 44 )
95	A rose beside a table was eaten by a king in the house .	obj_pp_to_subj_pp	rose ( 10 ) ; table ( 22 ) ; king ( 34 ) ; house ( 44 ) ; eat ( 57 ) AND theme ( 57 , 10 ) AND recipient ( 57 , 34 ) AND location ( 57 , 44 )
96	The cake in the room was seen .	obj_pp_to_subj_pp	* cake ( 23 ) ; * room ( 10 ) ; see ( 31 ) AND theme ( 31 , 23 ) AND recipient ( 31 , 10 )
97	A girl in the house forwarded Victoria a gumball in the shoe .	obj_pp_to_subj_pp	* girl ( 3 ) ; * Victoria ( 11 ) ; * gumball ( 27 ) ; * shoe ( 35 ) ; forward ( 17 ) AND agent ( 17 , 3 ) AND recipient ( 17 , 11 ) AND theme ( 17 , 27 ) AND recipient ( 17 , 35 )
98	The raisin beside the table was valued by a bear beside a stage .	obj_pp_to_subj_pp	* raisin ( 10 ) ; * bear ( 27 ) ; * table ( 23 ) ; * stage ( 36 ) ; value ( 42 ) AND theme ( 42 , 10 ) AND agent ( 42 , 27 ) AND recipient ( 42 , 23 ) AND recipient ( 42 , 36 )
99	A horse in the house was given the hammer beside a bed .	obj_pp_to_subj_pp	* horse in house ( 38 ) ; hammer ( 46 ) ; bed ( 42 ) ; give ( 22 ) AND theme ( 22 , 38 ) AND recipient ( 22 , 46 ) AND agent ( 22 , 38 ) AND location ( 38 , 42 )
100	A cockroach cleaned the cookie on a sock .	obj_to_subj_common	* cockroach ( 18 ) ; * cookie ( 30 ) ; * sock ( 38 ) ; clean ( 48 ) AND agent ( 48 , 18 ) AND theme ( 48 , 30 ) AND recipient ( 48 , 38 )
101	The cockroach slid a guest .	obj_to_subj_common	* cockroach ( 47 ) ; * guest ( 22 ) ; slide ( 37 ) AND agent ( 37 , 47 ) AND theme ( 37 , 22 )
102	The cockroach lended the girl the cake .	obj_to_subj_common	* cockroach ( 45 ) ; * girl ( 20 ) ; cake ( 30 ) ; lend ( 52 ) AND agent ( 52 , 45 ) AND recipient ( 52 , 20 ) AND theme ( 52 , 30 )
103	A cockroach burned the sandwich .	obj_to_subj_common	* cockroach ( 27 ) ; * sandwich ( 39 ) ; burn ( 43 ) AND agent ( 43 , 27 ) AND theme ( 43 , 39 )
104	The cockroach lended the child a cake .	obj_to_subj_common	* cockroach ( 22 ) ; * child ( 35 ) ; cake ( 47 ) ; lend ( 10 ) AND agent ( 10 , 22 ) AND recipient ( 10 , 35 ) AND theme ( 10 , 47 )
105	The cockroach split Isabella .	obj_to_subj_common	* Isabella ( 47 ) ; cockroach ( 8 ) ; split ( 27 ) AND agent ( 27 , 8 ) AND recipient ( 27 , 47 )
106	A cockroach fed the girl the cake .	obj_to_subj_common	* cockroach ( 31 ) ; * girl ( 22 ) ; cake ( 15 ) ; feed ( 43 ) AND agent ( 43 , 31 ) AND theme ( 43 , 15 ) AND recipient ( 43 , 22 )
107	William hoped that a cockroach ate .	obj_to_subj_common	cockroach ( 27 ) ; eat ( 37 ) ; William ( 17 ) ; hope ( 46 ) AND recipient ( 46 , 27 ) AND agent ( 37 , 27 ) AND theme ( 46 , 37 )
108	A cockroach observed .	obj_to_subj_common	cockroach ( 31 ) ; observe ( 46 )
109	The cockroach passed a judge the donut on the stage .	obj_to_subj_common	* cockroach ( 17 ) ; * judge ( 29 ) ; * donut ( 40 ) ; * stage ( 43 ) ; pass ( 10 ) AND agent ( 10 , 17 ) AND theme ( 10 , 40 ) AND recipient ( 10 , 29 ) AND location ( 10 , 43 )
110	A girl hoped that the cockroach gave a cake beside the bed to a cat .	obj_to_subj_common	girl ( 2 ) ; cockroach ( 15 ) ; cake ( 32 ) ; bed ( 40 ) ; cat ( 53 ) ; give ( 23 ) AND agent ( 23 , 15 ) AND theme ( 23 , 32 ) AND recipient ( 23 , 53 ) AND beside ( 40 , 32 ) AND to ( 23 , 40 ) AND hope ( 5 ) AND that ( 5 , 23 )
111	A cockroach liked the cake .	obj_to_subj_common	* cockroach ( 15 ) ; cake ( 27 ) ; like ( 37 ) AND agent ( 37 , 15 ) AND theme ( 37 , 27 )
112	The cockroach lended Charlotte the cookie .	obj_to_subj_common	* cockroach ( 4 ) ; Charlotte ( 13 ) ; cookie ( 18 ) ; lend ( 27 ) AND agent ( 27 , 4 ) AND recipient ( 27 , 13 ) AND theme ( 27 , 18 )
113	The cockroach passed Emma a cake .	obj_to_subj_common	* cockroach ( 28 ) ; Emma ( 34 ) ; cake ( 40 ) ; pass ( 22 ) AND agent ( 22 , 28 ) AND theme ( 22 , 40 ) AND recipient ( 22 , 34 )
114	The cockroach studied .	obj_to_subj_common	cockroach ( 29 ) ; study ( 49 )
115	A cockroach painted Lucas .	obj_to_subj_common	cockroach (17) ; Lucas (27) ; paint (23) AND recipient (23, 27) AND agent (23, 17)
116	Nora said that the cockroach painted the box on a table .	obj_to_subj_common	* Nora ( 12 ) ; cockroach ( 26 ) ; box ( 35 ) ; table ( 41 ) ; paint ( 20 ) AND agent ( 20 , 26 ) AND theme ( 20 , 35 ) AND recipient ( 20 , 41 ) AND say ( 3 ) AND agent ( 3 , 12 ) AND quote ( 3 , 20 )
117	Emma liked that the cockroach ate .	obj_to_subj_common	Emma ( 6 ) ; cockroach ( 28 ) ; like ( 17 ) AND agent ( 17 , 6 ) AND theme ( 28 , 50 ) AND recipient ( 17 , 28 )
118	A cockroach liked a strawberry on the mattress .	obj_to_subj_common	*cockroach ( 2 ) ; *strawberry ( 10 ) ; *mattress ( 20 ) ; like ( 36 ) AND theme ( 36 , 10 ) AND recipient ( 36 , 2 ) AND on ( 10 , 20 )
119	The girl said that the cockroach dreamed to read .	obj_to_subj_common	* girl ( 4 ) ; * cockroach ( 15 ) ; say ( 8 ) AND agent ( 8 , 4 ) AND theme ( 8 , 15 ) AND dream ( 19 ) AND theme ( 19 , 15 ) AND read ( 26 ) AND recipient ( 26 , 15 )
120	Charlie offered a flag beside a trophy to Liam .	obj_to_subj_proper	Charlie ( 7 ) ; flag ( 13 ) ; trophy ( 19 ) ; Liam ( 29 ) ; offer ( 23 ) AND agent ( 23 , 7 ) AND theme ( 23 , 13 ) AND recipient ( 23 , 19 ) AND recipient ( 23 , 29 )
121	Charlie studied a shell in the house .	obj_to_subj_proper	Charlie ( 1 ) ; shell ( 12 ) ; study ( 24 ) AND agent ( 24 , 1 ) AND theme ( 24 , 12 ) AND recipient ( 24 , * house ( 7 ) )
122	Charlie rolled the doll .	obj_to_subj_proper	Charlie ( 15 ) ; * doll ( 28 ) ; roll ( 42 ) AND agent ( 42 , 15 ) AND theme ( 42 , 28 )
123	Charlie helped a donut on the table .	obj_to_subj_proper	Charlie ( 42 ) ; donut ( 24 ) ; table ( 33 ) ; help ( 18 ) AND agent ( 18 , 42 ) AND theme ( 18 , 24 ) AND recipient ( 18 , 33 )
124	Charlie ate the cookie on a table .	obj_to_subj_proper	* Charlie ( 8 ) ; cookie ( 15 ) ; table ( 26 ) ; eat ( 37 ) AND agent ( 37 , 8 ) AND theme ( 37 , 15 ) AND recipient ( 37 , 26 )
125	Charlie gave the cake on a seat to the girl .	obj_to_subj_proper	* Charlie ( 12 ) ; cake ( 20 ) ; seat ( 30 ) ; girl ( 38 ) ; give ( 42 ) AND agent ( 42 , 12 ) AND theme ( 42 , 20 ) AND recipient ( 42 , 38 ) AND on ( 20 , 30 )
126	Charlie inflated Lily .	obj_to_subj_proper	Charlie ( 33 ) ; Lily ( 38 ) ; inflate ( 21 ) AND recipient ( 21 , 38 ) AND agent ( 21 , 33 )
127	Charlie gave a cookie to a girl .	obj_to_subj_proper	*Charlie ( 1 ) ; cookie ( 18 ) ; girl ( 21 ) ; give ( 9 ) AND theme ( 9 , 18 ) AND recipient ( 9 , 21 ) AND agent ( 9 , 1 )
128	Charlie ate the girl on a stage .	obj_to_subj_proper	* Charlie ( 13 ) ; * girl ( 22 ) ; stage ( 30 ) ; eat ( 47 ) AND agent ( 47 , 13 ) AND theme ( 47 , 22 ) AND recipient ( 47 , 30 )
129	Charlie offered Savannah the cake on a bed .	obj_to_subj_proper	Charlie ( 5 ) ; Savannah ( 17 ) ; cake ( 11 ) ; bed ( 20 ) ; offer ( 25 ) AND agent ( 25 , 5 ) AND theme ( 25 , 11 ) AND recipient ( 25 , 17 ) AND location ( 25 , 20 )
130	Charlie rolled Isabella .	obj_to_subj_proper	Charlie ( 15 ) ; Isabella ( 25 ) ; roll ( 32 ) AND agent ( 32 , 15 ) AND theme ( 32 , 25 )
131	Charlie liked Harper .	obj_to_subj_proper	Charlie ( 9 ) ; Harper ( 15 ) ; like ( 22 ) AND agent ( 22 , 9 ) AND theme ( 22 , 15 )
132	Charlie liked the crystal in a car .	obj_to_subj_proper	Charlie ( 47 ) ; crystal ( 23 ) ; car ( 32 ) ; like ( 14 ) AND agent ( 14 , 47 ) AND theme ( 14 , 23 ) AND recipient ( 14 , 32 )
133	Charlie fed the zebra the nail .	obj_to_subj_proper	Charlie ( 13 ) ; zebra ( 23 ) ; nail ( 32 ) ; feed ( 8 ) AND agent ( 8 , 13 ) AND theme ( 8 , 32 ) AND recipient ( 8 , 23 )
134	Charlie gave the puppy the chemical .	obj_to_subj_proper	Charlie ( 5 ) ; puppy ( 22 ) ; chemical ( 29 ) ; give ( 15 ) AND agent ( 15 , 5 ) AND recipient ( 15 , 22 ) AND theme ( 15 , 29 )
135	Thomas said that Charlie ate the cookie .	obj_to_subj_proper	Thomas ( 14 ) ; Charlie ( 20 ) ; cookie ( 29 ) ; say ( 12 ) AND agent ( 12 , 14 ) AND theme ( 12 , 20 ) AND theme ( 20 , 29 )
136	Charlie inflated the cake on a table .	obj_to_subj_proper	* Charlie ( 30 ) ; cake ( 14 ) ; table ( 38 ) ; inflate ( 43 ) AND agent ( 43 , 30 ) AND theme ( 43 , 14 ) AND recipient ( 43 , 38 )
137	Charlie sketched the girl in the car .	obj_to_subj_proper	Charlie ( 2 ) ; * girl ( 16 ) ; car ( 22 ) ; sketch ( 10 ) AND agent ( 10 , 2 ) AND theme ( 10 , 16 ) AND recipient ( 10 , 22 )
138	Charlie painted a girl beside a table .	obj_to_subj_proper	* Charlie ( 14 ) ; girl ( 24 ) ; table ( 32 ) ; paint ( 38 ) AND agent ( 38 , 14 ) AND theme ( 38 , 24 ) AND recipient ( 38 , 32 )
139	Charlie helped a cake beside a beast .	obj_to_subj_proper	Charlie ( 9 ) ; * cake ( 23 ) ; * beast ( 32 ) ; help ( 44 ) AND agent ( 44 , 9 ) AND theme ( 44 , 23 ) AND recipient ( 44 , 32 )
140	A coach liked that the cobra rolled .	only_seen_as_transitive_subj_as_unacc_subj	coach ( 6 ) ; cobra ( 24 ) ; like ( 16 ) AND agent ( 16 , 6 ) AND recipient ( 16 , 22 ) AND theme ( 22 , 24 ) AND roll ( 33 ) AND agent ( 33 , 24 )
141	Emma declared that a cobra split .	only_seen_as_transitive_subj_as_unacc_subj	* Emma ( 11 ) ; cobra ( 23 ) ; split ( 30 ) AND theme ( 30 , 23 ) AND agent ( 30 , 11 )
142	Lily wished that the cobra floated .	only_seen_as_transitive_subj_as_unacc_subj	* Lily ( 16 ) ; cobra ( 30 ) ; float ( 24 ) AND theme ( 24 , 30 ) AND agent ( 24 , 16 )
143	Amelia supported that the cobra rolled .	only_seen_as_transitive_subj_as_unacc_subj	* Amelia ( 9 ) ; cobra ( 26 ) ; roll ( 32 ) ; support ( 4 ) AND theme ( 32 , 26 ) AND agent ( 32 , 9 ) AND subordinate_clause_1 ( 4 , 26 , 32 )
144	Emily confessed that a cobra burned .	only_seen_as_transitive_subj_as_unacc_subj	* Emily ( 23 ) ; cobra ( 33 ) ; burn ( 18 ) AND agent ( 18 , 33 ) AND recipient ( 18 , 23 )
145	The dog tolerated that the cobra rolled .	only_seen_as_transitive_subj_as_unacc_subj	* dog ( 4 ) ; * cobra ( 16 ) ; tolerate ( 10 ) AND agent ( 10 , 4 ) AND recipient ( 10 , 16 ) AND roll ( 23 ) AND agent ( 23 , 16 )
146	Ella dreamed that the cobra slid .	only_seen_as_transitive_subj_as_unacc_subj	Ella ( 14 ) ; cobra ( 26 ) ; slide ( 35 ) AND theme ( 35 , 26 ) AND agent ( 35 , 14 ) AND dream ( 22 ) AND theme ( 22 , 26 )
147	A girl respected that the cobra rolled .	only_seen_as_transitive_subj_as_unacc_subj	girl ( 3 ) ; cobra ( 15 ) ; roll ( 37 ) ; respect ( 26 ) AND agent ( 26 , 3 ) AND theme ( 26 , 15 ) AND recipient ( 37 , 3 )
148	Elijah wished that the cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	Elijah ( 1 ) ; cobra ( 23 ) ; freeze ( 19 ) AND theme ( 19 , 23 ) AND agent ( 19 , 1 )
149	A governor believed that a cobra burned .	only_seen_as_transitive_subj_as_unacc_subj	governor ( 2 ) ; * cobra ( 8 ) ; burn ( 14 ) ; believe ( 20 ) AND recipient ( 20 , 2 ) AND theme ( 14 , 8 )
150	The coach liked that the cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	* coach ( 4 ) ; * cobra ( 20 ) ; like ( 8 ) AND agent ( 8 , 4 ) AND theme ( 8 , 20 ) AND recipient ( 8 , 26 ) AND freeze ( 26 ) AND theme ( 26 , 20 )
151	The girl liked that a cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	* girl ( 4 ) ; cobra ( 20 ) ; freeze ( 26 ) AND theme ( 26 , 20 ) AND recipient ( 26 , 4 ) AND satisfier ( 4 , 24 , 26 )
152	A cobra burned .	only_seen_as_transitive_subj_as_unacc_subj	cobra ( 47 ) ; burn ( 13 ) AND theme ( 13 , 47 )
153	Olivia hoped that a cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	Olivia ( 31 ) ; cobra ( 24 ) ; freeze ( 42 ) AND theme ( 42 , 24 ) AND recipient ( 42 , 30 ) AND hope ( 36 ) AND agent ( 36 , 31 )
154	A girl liked that a cobra burned .	only_seen_as_transitive_subj_as_unacc_subj	girl ( 3 ) ; cobra ( 21 ) ; * that ( 11 ) ; like ( 47 ) AND agent ( 47 , 3 ) AND theme ( 47 , 11 ) AND theme ( 47 , 21 ) AND burn ( 32 ) AND agent ( 32 , 21 )
155	Savannah liked that a cobra burned .	only_seen_as_transitive_subj_as_unacc_subj	Savannah ( 52 ) ; cobra ( 22 ) ; burn ( 13 ) AND agent ( 13 , 22 ) AND theme ( 13 , 23 ) AND like ( 41 ) AND agent ( 41 , 52 ) AND theme ( 41 , 23 )
156	Emma admired that a cobra decomposed .	only_seen_as_transitive_subj_as_unacc_subj	Emma ( 1 ) ; cobra ( 15 ) ; decompose ( 27 ) AND theme ( 27 , 15 ) AND agent ( 27 , 1 ) AND recipient ( 1 , 18 ) AND admire ( 47 ) AND theme ( 47 , 18 )
157	Emma said that a cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	* Emma ( 31 ) ; cobra ( 18 ) ; freeze ( 42 ) AND theme ( 42 , 18 ) AND agent ( 31 , 42 )
158	A girl supported that a cobra collapsed .	only_seen_as_transitive_subj_as_unacc_subj	girl ( 2 ) ; cobra ( 17 ) ; collapse ( 30 ) ; support ( 44 ) AND agent ( 44 , 2 ) AND theme ( 44 , 17 ) AND recipient ( 30 , 44 )
159	Liam noticed that a cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	Liam ( 8 ) ; cobra ( 20 ) ; freeze ( 25 ) AND theme ( 25 , 20 ) AND agent ( 25 , 14 ) ; notice ( 15 ) AND agent ( 15 , 8 ) AND theme ( 15 , 25 )
160	Claire hoped that the hippo drew .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Claire ( 7 ) ; hippo ( 17 ) ; draw ( 23 ) AND agent ( 23 , 17 ) AND recipient ( 23 , 7 )
161	A girl said that the hippo sketched .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	girl ( 2 ) ; hippo ( 15 ) ; sketch ( 26 ) AND agent ( 26 , 15 ) AND recipient ( 26 , 2 )
162	A baby hoped that a hippo sketched .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	baby ( 2 ) ; hippo ( 14 ) ; hope ( 7 ) AND agent ( 7 , 2 ) AND recipient ( 7 , 14 ) AND sketch ( 21 ) AND agent ( 21 , 14 ) AND theme ( 21 , * )
163	The cat liked that a hippo called .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* cat ( 4 ) ; hippo ( 23 ) ; like ( 12 ) AND agent ( 12 , 4 ) AND recipient ( 12 , 23 ) AND theme ( 26 , 23 ) AND call ( 26 ) AND agent ( 26 , 23 )
164	A puppy noticed that a hippo painted .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	puppy ( 2 ) ; hippo ( 23 ) ; notice ( 7 ) AND agent ( 7 , 2 ) AND theme ( 7 , 23 ) AND paint ( 23 , * )
165	The hero imagined that a hippo cooked .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* hero ( 4 ) ; hippo ( 27 ) ; imagine ( 10 ) AND agent ( 10 , 4 ) AND recipient ( 10 , 27 ) AND cook ( 30 ) AND agent ( 30 , 27 )
166	Emma admired that a hippo packed .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Emma ( 13 ) ; hippo ( 26 ) ; pack ( 42 ) AND agent ( 42 , 26 ) AND recipient ( 13 , 42 ) AND indefinite descriptor ( 4 , 27 ) AND admire ( 56 ) AND theme ( 56 , 27 ) AND recipient ( 13 , 56 )
167	The journalist believed that the hippo ate .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* journalist ( 25 ) ; hippo ( 33 ) ; believe ( 17 ) AND agent ( 17 , 25 ) AND theme ( 17 , 33 ) AND recipient ( 17 , 35 ) AND eat ( 35 )
168	The child hoped that the hippo investigated .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* child ( 4 ) ; * hippo ( 30 ) ; hope ( 12 ) AND agent ( 12 , 4 ) AND recipient ( 12 , 30 ) AND investigate ( 24 ) AND agent ( 24 , 30 )
169	The teacher liked that a hippo ate .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* teacher ( 4 ) ; hippo ( 15 ) ; like ( 9 ) AND agent ( 9 , 4 ) AND recipient ( 9 , 15 ) AND theme ( 15 , 27 ) AND definite descriptor ( 27 )
170	Mia wished that the hippo ate .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* Mia ( 16 ) ; hippo ( 30 ) ; eat ( 42 ) ; wish ( 22 ) AND recipient ( 22 , 30 ) AND theme ( 30 , 42 ) AND agent ( 22 , 16 )
171	Olivia dreamed that the hippo ate .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Olivia ( 19 ) ; hippo ( 33 ) ; dream ( 29 ) AND agent ( 29 , 19 ) AND theme ( 29 , 33 ) AND eat ( 46 ) AND agent ( 46 , 33 )
172	The boy noticed that a hippo painted .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* boy ( 4 ) ; hippo ( 23 ) ; paint ( 18 ) ; notice ( 10 ) AND agent ( 10 , 4 ) AND recipient ( 10 , 18 ) AND theme ( 18 , 23 )
173	A hippo juggled .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	hippo ( 13 ) ; juggle ( 28 )
174	The boy admired that a hippo ate .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* boy ( 4 ) ; * hippo ( 16 ) ; admire ( 29 ) AND agent ( 29 , 4 ) AND recipient ( 29 , 16 ) AND theme ( 16 , 35 ) AND definite descriptor ( 35 )
175	Isabella confessed that a hippo painted .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* Isabella ( 39 ) ; hippo ( 23 ) ; paint ( 47 ) AND theme ( 47 , 23 ) AND agent ( 47 , 39 ) AND confess ( 12 , 47 )
176	Mia said that a hippo packed .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Mia ( 3 ) ; hippo ( 16 ) ; pack ( 14 ) AND theme ( 14 , 16 ) AND agent ( 14 , 3 ) AND quote ( 3 , 14 )
177	Emma liked that a hippo noticed .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Emma ( 12 ) ; hippo ( 35 ) ; like ( 29 ) AND agent ( 29 , 12 ) AND theme ( 29 , 41 ) AND recipient ( 41 , 35 )
178	Noah liked that Liam meant that the hippo packed .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Noah ( 1 ) ; Liam ( 5 ) ; hippo ( 15 ) ; pack ( 26 ) ; like ( 10 ) AND agent ( 10 , 1 ) AND theme ( 10 , 5 ) AND recipient ( 5 , 26 ) AND theme ( 26 , 15 )
179	A bird liked that a hippo nursed .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	bird ( 4 ) ; hippo ( 16 ) ; nurse ( 23 ) ; like ( 39 ) AND agent ( 23 , 16 ) AND recipient ( 23 , 4 ) AND theme ( 39 , 23 )
180	Liam liked that the hippo walked .	only_seen_as_unacc_subj_as_unerg_subj	Liam ( 21 ) ; hippo ( 36 ) ; walk ( 32 ) AND agent ( 32 , 36 ) AND recipient ( 21 , 32 ) AND like ( 3 ) AND theme ( 3 , 32 )
181	A girl proved that a hippo stuttered .	only_seen_as_unacc_subj_as_unerg_subj	girl ( 2 ) ; hippo ( 13 ) ; stutter ( 18 ) ; prove ( 28 ) AND agent ( 28 , 2 ) AND theme ( 28 , 13 ) AND recipient ( 28 , 18 )
182	A boy noticed that the hippo talked .	only_seen_as_unacc_subj_as_unerg_subj	boy ( 8 ) ; hippo ( 24 ) ; talk ( 35 ) ; notice ( 4 ) AND theme ( 4 , hippo ) AND agent ( 4 , 8 ) AND recipient ( 35 , 24 )
183	Emma supported that the hippo talked .	only_seen_as_unacc_subj_as_unerg_subj	* Emma ( 24 ) ; hippo ( 37 ) ; support ( 15 ) AND agent ( 15 , 24 ) AND theme ( 15 , 37 ) AND talk ( 42 ) AND agent ( 42 , 37 )
184	A girl valued that the hippo slept .	only_seen_as_unacc_subj_as_unerg_subj	girl ( 3 ) ; hippo ( 14 ) ; sleep ( 24 ) ; value ( 36 ) AND theme ( 36 , 24 ) AND agent ( 36 , 3 ) AND recipient ( 36 , 14 )
185	Isabella proved that a hippo sneezed .	only_seen_as_unacc_subj_as_unerg_subj	Isabella ( 5 ) ; hippo ( 15 ) ; sneeze ( 31 ) AND theme ( 31 , 15 ) AND agent ( 31 , 5 ) AND prove ( 22 ) AND theme ( 22 , 31 )
186	Olivia liked that a hippo screamed .	only_seen_as_unacc_subj_as_unerg_subj	Olivia ( 20 ) ; hippo ( 35 ) ; like ( 47 ) AND agent ( 47 , 20 ) AND theme ( 47 , 35 ) AND theme ( 49 , 35 ) AND recipient ( 49 , 47 )
187	A professor believed that a hippo cried .	only_seen_as_unacc_subj_as_unerg_subj	professor ( 7 ) ; hippo ( 22 ) ; cry ( 16 ) ; believe ( 29 ) AND theme ( 29 , 22 ) AND agent ( 29 , 7 )
188	Emma appreciated that the hippo scoffed .	only_seen_as_unacc_subj_as_unerg_subj	* Emma ( 13 ) ; hippo ( 26 ) ; appreciate ( 36 ) AND agent ( 36 , 13 ) AND theme ( 36 , 26 ) AND recipient ( 36 , 5 )
189	The dog noticed that a hippo ran .	only_seen_as_unacc_subj_as_unerg_subj	* dog ( 4 ) ; hippo ( 21 ) ; run ( 28 ) ; notice ( 13 ) AND recipient ( 13 , 4 ) AND agent ( 28 , 21 )
190	Liam said that the hippo sneezed .	only_seen_as_unacc_subj_as_unerg_subj	* Liam ( 11 ) ; hippo ( 25 ) ; sneeze ( 33 ) ; say ( 22 ) AND agent ( 22 , 11 ) AND recipient ( 22 , 25 ) AND theme ( 33 , 25 )
191	A girl hoped that a hippo slept .	only_seen_as_unacc_subj_as_unerg_subj	* girl ( 5 ) ; hippo ( 18 ) ; sleep ( 37 ) AND recipient ( 37 , 18 ) AND hope ( 26 ) AND theme ( 26 , 37 ) AND agent ( 26 , 5 )
192	A prisoner believed that the hippo slept .	only_seen_as_unacc_subj_as_unerg_subj	prisoner ( 28 ) ; hippo ( 35 ) ; sleep ( 56 ) ; believe ( 20 ) AND agent ( 20 , 28 ) AND theme ( 20 , 56 ) AND recipient ( 56 , 35 )
193	Noah liked that a hippo smiled .	only_seen_as_unacc_subj_as_unerg_subj	Noah ( 30 ) ; hippo ( 16 ) ; smile ( 42 ) ; like ( 22 ) AND agent ( 22 , 30 ) AND theme ( 22 , 16 ) AND recipient ( 42 , 30 )
194	The girl expected that a hippo snoozed .	only_seen_as_unacc_subj_as_unerg_subj	* girl ( 13 ) ; hippo ( 28 ) ; snooze ( 42 ) ; expect ( 7 ) AND agent ( 7 , 13 ) AND theme ( 7 , 42 ) AND recipient ( 42 , 28 )
195	A boy appreciated that the hippo slept .	only_seen_as_unacc_subj_as_unerg_subj	* boy ( 3 ) ; hippo ( 13 ) ; appreciate ( 27 ) AND recipient ( 27 , 3 ) AND theme ( 27 , 13 ) AND sleep ( 16 ) AND agent ( 16 , 13 )
